path,name,example_value,type,transform,MIO=keep in EcoTaxa,Lotty=keep in EcoTaxa,CEFAS=keep in EcoTaxa,SYKE=keep in EcoTaxa,LOG =keep in EcoTaxa,explanation,Comments,bioODV.subject,bioODV.object,bioODV.units
filename,filename,SWS250-setFLRMax50-1000im-PMTlow 2025-02-13 14h27.cyz,[t],remove_extension,True,True,TRUE,True,False,self explenatory (SE),nan,,,
instrument.name,instrument,MIO - La Physat,[t],None,True,True,TRUE,True,False,SE,nan,,,
instrument.serialNumber,serialNumber,CS-2020-101,[t],None,True,True,TRUE,True,False,SE,nan,,,
instrument.sampleCoreSpeed,sampleCoreSpeed,"2,2",[d],"[extract_date_utc,extract_time_utc]",False,False,FALSE,False,False,(Approx.) speed of the particle when going through the laser.,nan,,,
instrument.laserBeamWidth,laserBeamWidth,5,[f],None,False,False,FALSE,False,False,SE,nan,,,
instrument.channels.id,id,0,[f],None,False,False,FALSE,False,False,"Every channel has an ID number, not terribly interesting.",nan,,,
instrument.channels.description,description,FWS,[t],None,False,False,FALSE,False,False,Description of the PMTs /optical channel available in the machine,nan,,,
instrument.channels.id,id,1,[f],None,False,False,FALSE,False,False,id of said PMT or optical channel,nan,,,
instrument.channels.description,description,SWS,[t],None,False,False,FALSE,False,False,Description of the PMTs /optical channel available in the machine,nan,,,
instrument.channels.id,id,2,[f],None,False,False,FALSE,False,False,id of said PMT or optical channel,nan,,,
instrument.channels.description,description,Fl Yellow,[t],None,False,False,FALSE,False,False,Description of the PMTs /optical channel available in the machine,nan,,,
instrument.channels.id,id,3,[f],None,False,False,FALSE,False,False,id of said PMT or optical channel,nan,,,
instrument.channels.description,description,FL Red,[t],None,False,False,FALSE,False,False,Description of the PMTs /optical channel available in the machine,nan,,,
instrument.channels.id,id,4,[f],None,False,False,FALSE,False,False,id of said PMT or optical channel,nan,,,
instrument.channels.description,description,Curvature,[t],None,False,False,FALSE,False,False,Description of the PMTs /optical channel available in the machine,nan,,,
instrument.channels.id,id,5,[f],None,False,False,FALSE,False,False,id of said PMT or optical channel,nan,,,
instrument.channels.description,description,FWS L,[t],None,False,False,FALSE,False,False,Description of the PMTs /optical channel available in the machine,nan,,,
instrument.channels.id,id,6,[f],None,False,False,FALSE,False,False,id of said PMT or optical channel,nan,,,
instrument.channels.description,description,FWS R,[t],None,False,False,FALSE,False,False,Description of the PMTs /optical channel available in the machine,nan,,,
