path,example_value,type,MIO=keep in EcoTaxa,Lotty=keep in EcoTaxa,CEFAS=keep in EcoTaxa,SYKE=keep in EcoTaxa,LOG =keep in EcoTaxa,explanation,Comments
filename,SWS250-setFLRMax50-1000im-PMTlow 2025-02-13 14h27.cyz,[t],True,True,TRUE,True,False,self explenatory (SE),
instrument.name,MIO - La Physat,[t],True,True,TRUE,True,False,SE,
instrument.serialNumber,CS-2020-101,[t],True,True,TRUE,True,False,SE,
instrument.sampleCoreSpeed,"2,2",[d],False,False,FALSE,False,False,(Approx.) speed of the particle when going through the laser.,
instrument.laserBeamWidth,5,[f],False,False,FALSE,False,False,SE,
instrument.channels.id,0,[f],False,False,FALSE,False,False,"Every channel has an ID number, not terribly interesting.",
instrument.channels.description,FWS,[t],False,False,FALSE,False,False,Description of the PMTs /optical channel available in the machine,
instrument.channels.id,1,[f],False,False,FALSE,False,False,id of said PMT or optical channel,
instrument.channels.description,SWS,[t],False,False,FALSE,False,False,Description of the PMTs /optical channel available in the machine,
instrument.channels.id,2,[f],False,False,FALSE,False,False,id of said PMT or optical channel,
instrument.channels.description,Fl Yellow,[t],False,False,FALSE,False,False,Description of the PMTs /optical channel available in the machine,
instrument.channels.id,3,[f],False,False,FALSE,False,False,id of said PMT or optical channel,
instrument.channels.description,FL Red,[t],False,False,FALSE,False,False,Description of the PMTs /optical channel available in the machine,
instrument.channels.id,4,[f],False,False,FALSE,False,False,id of said PMT or optical channel,
instrument.channels.description,Curvature,[t],False,False,FALSE,False,False,Description of the PMTs /optical channel available in the machine,
instrument.channels.id,5,[f],False,False,FALSE,False,False,id of said PMT or optical channel,
instrument.channels.description,FWS L,[t],False,False,FALSE,False,False,Description of the PMTs /optical channel available in the machine,
instrument.channels.id,6,[f],False,False,FALSE,False,False,id of said PMT or optical channel,
instrument.channels.description,FWS R,[t],False,False,FALSE,False,False,Description of the PMTs /optical channel available in the machine,
instrument.measurementSettings.CytoSettings.release.ReleaseDate,2013-04-23 00:00:00,[d],False,False,FALSE,False,False,"Change data of that structure in the datafile, some parts have this, so we can detect if they are an older version when loading.",
instrument.measurementSettings.CytoSettings.Progress,0,[f],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.RepeatID,1,[f],False,False,FALSE,False,False,"In the measurement settings you can specify that a measurement should be repeated multiple times.  The first one is 1, the second is 2, etc.",
instrument.measurementSettings.CytoSettings.CytoSelectorTrayID,0,[f],False,False,FALSE,False,False,"A selector is an accessory, where you can select between different beakers/samples, and this indicates which input was sampled from.",
instrument.measurementSettings.CytoSettings.Enabled,TRUE,[b],False,False,FALSE,False,False,"Is the measurement enabled or not, will always be true because we only run enabled measurements.",
instrument.measurementSettings.CytoSettings.TabName,SWS250-setFLRMax50-1000im-PMTlow,[t],True,True,TRUE,False,False,Name of the file without the timestamp,
instrument.measurementSettings.CytoSettings.SamplePumpSpeedSetting,58,[f],False,False,FALSE,False,False,Byte value for the speed as it is sent to the hardware.,
instrument.measurementSettings.CytoSettings.SamplePompSpeed,"4,06",[d],True,True,TRUE,True,False,"sample pump speed (in µl/s), useful for analysed volume",
instrument.measurementSettings.CytoSettings.ConfiguredSamplePumpSpeedSetting,58,[f],False,False,FALSE,False,False,unsure of the difference with previous two categories,
instrument.measurementSettings.CytoSettings.ConfiguredSamplePompSpeed,"4,06",[d],False,False,FALSE,False,False,"The original value configured in CytoUSB, cytousb can adjust this e.g. if the particle rate is to high.  The adjusted one is stored as the SamplePompSpeed.",
instrument.measurementSettings.CytoSettings.LimitParticleRate,FALSE,[b],True,False,?,False,False,setting that allows you to limit the number of particles per second (e.g. when you have a concentrated sample). TRUE/FALSE,Inever work with this feature
instrument.measurementSettings.CytoSettings.MaxParticleRate,5000,[f],False,False,FALSE,False,False,"if previous setting is actived (TRUE), then max particle rate being requested by user",
instrument.measurementSettings.CytoSettings.EnableMinimumAutoSpeed,FALSE,[b],False,False,FALSE,False,False,Indicates that the mimimum sample pump speed setting is active.  The system will not reduce the speed below this setting.,
instrument.measurementSettings.CytoSettings.MinimumAutoSpeedSetting,1,[f],False,False,FALSE,False,False,The byte value to be sent to the hardware that matches the specified speed.,
instrument.measurementSettings.CytoSettings.MinimumAutoSpeed,"0,07",[t],False,False,FALSE,False,False,is activated when minimum particle rate setting is activated. sets a minimal sample pump speed ,
instrument.measurementSettings.CytoSettings.TriggerLevel1e,250,[f],True,True,TRUE,True,False,main trigger level,
instrument.measurementSettings.CytoSettings.TriggerChannel,SWS,[t],True,True,TRUE,True,False,main trigger channel (most often FLR or SWS),"This is a comma seperated list of ALL selected trigger channels, usually one, but in theory it can be multiple."
instrument.measurementSettings.CytoSettings.TriggerLevelsFJ1,240,[f],False,False,FALSE,False,False,This is an array with a trigger level settings for each channel. You can check the trigger channel property to see which channel is used. ,
instrument.measurementSettings.CytoSettings.TriggerLevelsFJ2,240,[f],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.TriggerLevelsFJ3,2000,[f],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.TriggerLevelsFJ4,240,[f],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.TriggerLevelsFJ5,2000,[f],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.ChannelDataConversion1,2,[f],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.ChannelDataConversion2,2,[f],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.ChannelDataConversion3,2,[f],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.ChannelDataConversion4,2,[f],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.ChannelDataConversion5,2,[f],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.TriggerLevelByte1e,50,[f],False,False,FALSE,False,False,"Byte values for the trigger levels, these are the underlying values that match the mV values reported earlier.",
instrument.measurementSettings.CytoSettings.TriggerLevelByte2e,50,[f],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.StopafterTimertext,1200,[f],True,True,TRUE,True,False,"Stop condition, based on acquisition duration (in seconds)","best practice warning - check if it follows the Consortium of imaging protocol
NOTE: All the ones that end in ""String"" are just string representation of the normal values, only for ease of access in some parts of the software."
instrument.measurementSettings.CytoSettings.MaxNumberParticleText,1000,[f],True,True,TRUE,True,False,Stop condition that can be combined with previous stop condition (time). Unclear if it's a total number of particle?,
instrument.measurementSettings.CytoSettings.StopAtParticles,FALSE,[b],True,True,TRUE,True,False,"Stop condition, based on max number of particles (TRUE/FALSE)",
instrument.measurementSettings.CytoSettings.StopAtParticlesString,-,[t],True,True,?,True,False,"If previous is TRUE, speficies the number of particles.",
instrument.measurementSettings.CytoSettings.MaxAnalysedVolume,0,[f],True,True,TRUE,True,False,"Stop condition, based on max analysed volume (in µl)",
instrument.measurementSettings.CytoSettings.StopAtAnalysedVolume,FALSE,[b],True,True,?,True,False,"Stop condition, based on max analysed volume (TRUE/FALSE)",
instrument.measurementSettings.CytoSettings.StopAtAnalysedVolumeString,-,[t],True,True,?,True,False,"If previous is TRUE, speficies max anaylsed volume value",
instrument.measurementSettings.CytoSettings.MaxPumpedVolume,0,[f],True,True,FALSE,True,False,"Stop condition, based on max pumped volume (in µl)",
instrument.measurementSettings.CytoSettings.StopAtPumpedVolume,FALSE,[b],True,True,FALSE,True,False,"Stop condition, based on max pumped volume (TRUE/FALSE)",
instrument.measurementSettings.CytoSettings.StopAtPumpedVolumeString,-,[t],True,True,FALSE,True,False,"If previous is TRUE, specifies max pumped volume value",
instrument.measurementSettings.CytoSettings.MaxNumberFotoText,1000,[f],True,True,TRUE,True,False,"Stop condition, based on max number of images ",
instrument.measurementSettings.CytoSettings.StopAtFotos,TRUE,[b],True,True,?,True,False,"Stop condition, based on max number of images  (TRUE/FALSE)",
instrument.measurementSettings.CytoSettings.StopAtFotosString,1000,[f],True,True,?,True,False,"If previous is TRUE, specifies max max number of images ",
instrument.measurementSettings.CytoSettings.StopAfterTime,TRUE,[b],True,True,TRUE,True,False,"Stop condition, based on acquisition duration (TRUE/FALSE) --> related to line 50",
instrument.measurementSettings.CytoSettings.SaveTextbox,C:\Users\Cyto\Documents\My CytoSense\Datafiles\SOTROC\Image-optimisation\20250213,[t],False,False,FALSE,False,False,where file is saved locally,
instrument.measurementSettings.CytoSettings.FlushCheck,FALSE,[b],False,False,FALSE,True,False,check box: flush,
instrument.measurementSettings.CytoSettings.TellCheck,FALSE,[b],False,False,FALSE,False,False,"check box : Yes, the speak when doen function.",
instrument.measurementSettings.CytoSettings.IsBackgroundOnly,FALSE,[b],False,False,FALSE,False,False,"check box: Special measurement only doing background measurements, not used.",
instrument.measurementSettings.CytoSettings.IIFCheck,TRUE,[b],False,False,FALSE,True,False,check box: Image in flow enabled for this measurement.,
instrument.measurementSettings.CytoSettings.GVCheck,FALSE,[b],False,False,FALSE,False,False,check box: Gas Vacuole measurent.  Very old leftover from a device that no longer exists.,
instrument.measurementSettings.CytoSettings.BSTCheck,FALSE,[b],False,False,FALSE,False,False,"Beads/Sheat/Toxin, old version of accessory to add extra biocide and beads.",
instrument.measurementSettings.CytoSettings.repeat,3,[f],False,False,FALSE,False,False,Number of times the protocol is repeated,
instrument.measurementSettings.CytoSettings.BlockSize,0,[f],False,False,FALSE,False,False,Old devices (serial <85) have a blocksize setting used for transfering data.,
instrument.measurementSettings.CytoSettings.BlockSize_str,-,[t],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.PMTlevels,SzdLS0tLS1A=,[t],False,False,FALSE,False,False,Raw byte values for PMT settings.,
instrument.measurementSettings.CytoSettings.PMTlevelsString,"[55 (25x),80 (192x),75 (366x)]",[t],False,False,FALSE,False,False,PMT sensitivity values + amplification levels - String representation,
instrument.measurementSettings.CytoSettings.PMTlevels_str,"SWS: 55 (25x), Fl Yellow: 80 (192x), FL Red: 75 (366x)",[t],True,True,TRUE,True,False,"PMT sensitivity values + channel specified (SWS, FLO, FLY, FLR)",
instrument.measurementSettings.CytoSettings.PMTLevelPreset,Low sensitivity,[t],True,True,TRUE,True,False,PMT Level Preset (low/medium/high),
instrument.measurementSettings.CytoSettings.Subfolder,,[f],False,False,FALSE,False,False,"creates a subfolder where file is saved locally, if speficied in protocol",
instrument.measurementSettings.CytoSettings.UserRemarks,,[f],False,False,FALSE,True,False,comments that can be added while creating the protocol,
instrument.measurementSettings.CytoSettings.AutoBlockSize,FALSE,[b],False,False,FALSE,False,False,Transfer blocksize for old instruments ( serial < 85),
instrument.measurementSettings.CytoSettings.MaxTimeOut,,[f],False,False,FALSE,False,False,"Maximum time CytoUsb waits for a block of data, (serial < 85)",
instrument.measurementSettings.CytoSettings.AdaptiveMaxTimeOut,TRUE,[b],False,False,FALSE,False,False,Indicates the timeout will be adjusted automatically based on particle rate. (serial < 85),
instrument.measurementSettings.CytoSettings.MaxTimeOut_str,Auto,[t],False,False,FALSE,False,False,,pour les vieux instruments
instrument.measurementSettings.CytoSettings.SeperateConcentration,TRUE,[b],False,False,TRUE,True,False,Do a sepreate concentration measurement before the actual measurement.,
instrument.measurementSettings.CytoSettings.AdaptiveSamplePumpSpeed,FALSE,[b],False,False,FALSE,False,False,Change the sample pump speed based on the preconcentration if the particle rate is to high.,
instrument.measurementSettings.CytoSettings.MeasureNoiseLevels,TRUE,[b],False,False,FALSE,True,False,"background noise levels- Do a short measurement without particles, to see what the signal coming from the detectors is when there are no particles.",
instrument.measurementSettings.CytoSettings.CalibrateCamera,TRUE,[b],False,True,TRUE,True,False,Difficult way to say that the system should take a background image (a picture when there are no particles in the flow cell.  This is used for object detection.),JO was talking at the beginning about it and more recently he say not need-check with him
instrument.measurementSettings.CytoSettings.TriggerChannelArray1,FALSE,[b],False,False,FALSE,False,False,"Array of booleans, set to true when the trigger for that channel should be active.",
instrument.measurementSettings.CytoSettings.TriggerChannelArray2,FALSE,[b],False,False,FALSE,False,False,"Array of booleans, set to true when the trigger for that channel should be active.",
instrument.measurementSettings.CytoSettings.TriggerChannelArray3,TRUE,[b],False,False,FALSE,False,False,"Array of booleans, set to true when the trigger for that channel should be active.",
instrument.measurementSettings.CytoSettings.TriggerChannelArray4,FALSE,[b],False,False,FALSE,False,False,"Array of booleans, set to true when the trigger for that channel should be active.",
instrument.measurementSettings.CytoSettings.TriggerChannelArray5,FALSE,[b],False,False,FALSE,False,False,"Array of booleans, set to true when the trigger for that channel should be active.",
instrument.measurementSettings.CytoSettings.LowCheck1,FALSE,[b],False,False,FALSE,False,False,"Some old instruments do not PMTs that can be changed from software. And for some you have 2 options, a hich sensitivity one and a low sensitivity one. Here you can select which of the two options you want. This is very old and can be ignored. There are not many (If any) instruments for which this applies.",I do not know because I do not have low and high with my old one
instrument.measurementSettings.CytoSettings.LowCheck2,FALSE,[b],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.LowCheck3,FALSE,[b],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.LowCheck4,FALSE,[b],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.LowCheck5,FALSE,[b],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.LowCheck6,FALSE,[b],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.LowCheck7,FALSE,[b],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.LowCheck8,FALSE,[b],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.IIFParameters.Filedate,2001-01-01 00:00:00,[d],False,False,FALSE,False,False,"Relates to the IIF Target file, if one is used.",
instrument.measurementSettings.CytoSettings.IIFParameters.CoreSpeed,0,[f],False,False,FALSE,False,False,Not used,
instrument.measurementSettings.CytoSettings.IIFParameters.BeamWidth,0,[f],False,False,FALSE,False,False,Not used,
instrument.measurementSettings.CytoSettings.IIFParameters.Curvature,FALSE,[b],False,False,FALSE,False,False,Not used,
instrument.measurementSettings.CytoSettings.IIFParameters.SelectOnCurvature,FALSE,[b],False,False,FALSE,False,False,Not used,
instrument.measurementSettings.CytoSettings.IIFParameters.CurvatureLowerTolerance,0,[f],False,False,FALSE,False,False,Not used,
instrument.measurementSettings.CytoSettings.IIFParameters.CurvatureUpperTolerance,0,[f],False,False,FALSE,False,False,Not used,
instrument.measurementSettings.CytoSettings.SelectedIifMode,Set Definition IIF,[t],False,False,FALSE,False,False,"This is a combination, based on all the booleans below.",
instrument.measurementSettings.CytoSettings.IIFuseTargetAll,FALSE,[b],True,True,TRUE,True,False,Imaging mode: target all (TRUE/FALSE),
instrument.measurementSettings.CytoSettings.IIFuseTargetRange,FALSE,[b],True,True,TRUE,True,False,Imaging mode: target range (with a single set) (TRUE/FALSE),
instrument.measurementSettings.CytoSettings.IIFuseSmartGrid,FALSE,[b],True,True,TRUE,True,False,Imaging mode: smart grid (TRUE/FASLE),if true file rejected ?
instrument.measurementSettings.CytoSettings.SmartGrid_str,,[f],True,False,TRUE,True,False,"Same as line above, only a string instead of a boolean.",
instrument.measurementSettings.CytoSettings.IifSmartGridChannelIds1,3,[f],True,False,TRUE,True,False,Which smargrid channels to use.,
instrument.measurementSettings.CytoSettings.IifSmartGridChannelIds2,4,[f],True,False,TRUE,True,False,Which smargrid channels to use.,
instrument.measurementSettings.CytoSettings.IIFuseFreeFormSelection,FALSE,[b],False,False,FALSE,False,False,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.channelX_ID,0,[f],False,False,FALSE,False,False,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.ParameterX_ID,0,[f],False,False,FALSE,False,False,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.StapX,0,[f],False,False,FALSE,False,False,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.ResolutionX,0,[f],False,False,FALSE,False,False,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.ScaleX,0,[f],False,False,FALSE,False,False,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.channelY_ID,0,[f],False,False,FALSE,False,False,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.ParameterY_ID,0,[f],False,False,FALSE,False,False,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.StapY,0,[f],False,False,FALSE,False,False,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.ResolutionY,0,[f],False,False,FALSE,False,False,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.ScaleY,0,[f],False,False,FALSE,False,False,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFRestrictFwsRange,FALSE,[b],True,True,FALSE,True,False,checked box if you restrict FWS ratio (TRUE/FALSE),if true rejected  ?
instrument.measurementSettings.CytoSettings.IIFFwsRatioMin,"0,1",[t],True,True,FALSE,True,False,minimum FWS ratio (to keep if TRUE),
instrument.measurementSettings.CytoSettings.IIFFwsRatioMax,10,[f],True,True,FALSE,True,False,maximum FWS ratio (to keep if TRUE),
instrument.measurementSettings.CytoSettings.IIFFwsRatioRangeCalibration,FALSE,[b],False,False,FALSE,False,False,"A special measurment used to find the min/max values for FWS, not used anymore.",
instrument.measurementSettings.CytoSettings.IIFPhotographLargeParticles,FALSE,[b],True,True,FALSE,False,False,Very large particles are hard to capture via the PC because the take a lot of time to transfer. With this setting the hardware will automatically take a picture of anything above 500 micrometer.,
instrument.measurementSettings.CytoSettings.IIFUseSetDefintionSelector,TRUE,[b],True,True,FALSE,True,False,"checked box if you choose the ""Set Definition"" imaging protocol (TRUE/FALSE)",if false validate smart TRIGGER values dedicated to Micro cells ?
instrument.measurementSettings.CytoSettings.IIFSetDefintionFileName,C:\Users\Cyto\Documents\My CytoSense\Settings\SetLists\PMTLOWRedMicrob.xml,[t],True,True,FALSE,True,False,name of the definition set (.xml),
instrument.measurementSettings.CytoSettings.IIFSetSelectionInfo.SetId,1,[f],False,False,FALSE,False,False,ID of the definition set,"These values are repeated for every set in the set definition that was lladed, so they will be present multiple times."
instrument.measurementSettings.CytoSettings.IIFSetSelectionInfo.WantImages,TRUE,[b],True,True,FALSE,True,False,do you want picture for the said definition set (TRUE/FALSE),"These values are repeated for every set in the set definition that was lladed, so they will be present multiple times."
instrument.measurementSettings.CytoSettings.IIFSetSelectionInfo.NumberOfImages,1000,[f],True,True,FALSE,True,False,"if previous is TRUE, how many pictures","These values are repeated for every set in the set definition that was lladed, so they will be present multiple times."
