path,example_value,MIO=keep in EcoTaxa,Lotty=keep in EcoTaxa,CEFAS=keep in EcoTaxa,SYKE=keep in EcoTaxa,LOG =keep in EcoTaxa,explanation,Comments
filename,SWS250-setFLRMax50-1000im-PMTlow 2025-02-13 14h27.cyz,TRUE,TRUE,TRUE,TRUE,FALSE,self explenatory (SE),
instrument.name,MIO - La Physat,TRUE,TRUE,TRUE,TRUE,FALSE,SE,
instrument.serialNumber,CS-2020-101,TRUE,TRUE,TRUE,TRUE,FALSE,SE,
instrument.sampleCoreSpeed,"2,2",FALSE,FALSE,FALSE,FALSE,FALSE,(Approx.) speed of the particle when going through the laser.,
instrument.laserBeamWidth,5,FALSE,FALSE,FALSE,FALSE,FALSE,SE,
instrument.channels.id,0,FALSE,FALSE,FALSE,FALSE,FALSE,"Every channel has an ID number, not terribly interesting.",
instrument.channels.description,FWS,FALSE,FALSE,FALSE,FALSE,FALSE,Description of the PMTs /optical channel available in the machine,
instrument.channels.id,1,FALSE,FALSE,FALSE,FALSE,FALSE,id of said PMT or optical channel,
instrument.channels.description,SWS,FALSE,FALSE,FALSE,FALSE,FALSE,Description of the PMTs /optical channel available in the machine,
instrument.channels.id,2,FALSE,FALSE,FALSE,FALSE,FALSE,id of said PMT or optical channel,
instrument.channels.description,Fl Yellow,FALSE,FALSE,FALSE,FALSE,FALSE,Description of the PMTs /optical channel available in the machine,
instrument.channels.id,3,FALSE,FALSE,FALSE,FALSE,FALSE,id of said PMT or optical channel,
instrument.channels.description,FL Red,FALSE,FALSE,FALSE,FALSE,FALSE,Description of the PMTs /optical channel available in the machine,
instrument.channels.id,4,FALSE,FALSE,FALSE,FALSE,FALSE,id of said PMT or optical channel,
instrument.channels.description,Curvature,FALSE,FALSE,FALSE,FALSE,FALSE,Description of the PMTs /optical channel available in the machine,
instrument.channels.id,5,FALSE,FALSE,FALSE,FALSE,FALSE,id of said PMT or optical channel,
instrument.channels.description,FWS L,FALSE,FALSE,FALSE,FALSE,FALSE,Description of the PMTs /optical channel available in the machine,
instrument.channels.id,6,FALSE,FALSE,FALSE,FALSE,FALSE,id of said PMT or optical channel,
instrument.channels.description,FWS R,FALSE,FALSE,FALSE,FALSE,FALSE,Description of the PMTs /optical channel available in the machine,
instrument.measurementSettings.CytoSettings.release.ReleaseDate,2013-04-23 00:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,"Change data of that structure in the datafile, some parts have this, so we can detect if they are an older version when loading.",
instrument.measurementSettings.CytoSettings.Progress,0,FALSE,FALSE,FALSE,FALSE,FALSE,,
instrument.measurementSettings.CytoSettings.RepeatID,1,FALSE,FALSE,FALSE,FALSE,FALSE,"In the measurement settings you can specify that a measurement should be repeated multiple times.  The first one is 1, the second is 2, etc.",
instrument.measurementSettings.CytoSettings.CytoSelectorTrayID,0,FALSE,FALSE,FALSE,FALSE,FALSE,"A selector is an accessory, where you can select between different beakers/samples, and this indicates which input was sampled from.",
instrument.measurementSettings.CytoSettings.Enabled,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Is the measurement enabled or not, will always be true because we only run enabled measurements.",
instrument.measurementSettings.CytoSettings.TabName,SWS250-setFLRMax50-1000im-PMTlow,TRUE,TRUE,TRUE,FALSE,FALSE,Name of the file without the timestamp,
instrument.measurementSettings.CytoSettings.SamplePumpSpeedSetting,58,FALSE,FALSE,FALSE,FALSE,FALSE,Byte value for the speed as it is sent to the hardware.,
instrument.measurementSettings.CytoSettings.SamplePompSpeed,"4,06",TRUE,TRUE,TRUE,TRUE,FALSE,"sample pump speed (in µl/s), useful for analysed volume",
instrument.measurementSettings.CytoSettings.ConfiguredSamplePumpSpeedSetting,58,FALSE,FALSE,FALSE,FALSE,FALSE,unsure of the difference with previous two categories,
instrument.measurementSettings.CytoSettings.ConfiguredSamplePompSpeed,"4,06",FALSE,FALSE,FALSE,FALSE,FALSE,"The original value configured in CytoUSB, cytousb can adjust this e.g. if the particle rate is to high.  The adjusted one is stored as the SamplePompSpeed.",
instrument.measurementSettings.CytoSettings.LimitParticleRate,FALSE,TRUE,FALSE,?,FALSE,FALSE,setting that allows you to limit the number of particles per second (e.g. when you have a concentrated sample). TRUE/FALSE,Inever work with this feature
instrument.measurementSettings.CytoSettings.MaxParticleRate,5000,FALSE,FALSE,FALSE,FALSE,FALSE,"if previous setting is actived (TRUE), then max particle rate being requested by user",
instrument.measurementSettings.CytoSettings.EnableMinimumAutoSpeed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Indicates that the mimimum sample pump speed setting is active.  The system will not reduce the speed below this setting.,
instrument.measurementSettings.CytoSettings.MinimumAutoSpeedSetting,1,FALSE,FALSE,FALSE,FALSE,FALSE,The byte value to be sent to the hardware that matches the specified speed.,
instrument.measurementSettings.CytoSettings.MinimumAutoSpeed,"0,07",FALSE,FALSE,FALSE,FALSE,FALSE,is activated when minimum particle rate setting is activated. sets a minimal sample pump speed ,
instrument.measurementSettings.CytoSettings.TriggerLevel1e,250,TRUE,TRUE,TRUE,TRUE,FALSE,main trigger level,
instrument.measurementSettings.CytoSettings.TriggerChannel,SWS,TRUE,TRUE,TRUE,TRUE,FALSE,main trigger channel (most often FLR or SWS),"This is a comma seperated list of ALL selected trigger channels, usually one, but in theory it can be multiple."
instrument.measurementSettings.CytoSettings.TriggerLevelsFJ1,240,FALSE,FALSE,FALSE,FALSE,FALSE,This is an array with a trigger level settings for each channel. You can check the trigger channel property to see which channel is used. ,
instrument.measurementSettings.CytoSettings.TriggerLevelsFJ2,240,FALSE,FALSE,FALSE,FALSE,FALSE,,
instrument.measurementSettings.CytoSettings.TriggerLevelsFJ3,2000,FALSE,FALSE,FALSE,FALSE,FALSE,,
instrument.measurementSettings.CytoSettings.TriggerLevelsFJ4,240,FALSE,FALSE,FALSE,FALSE,FALSE,,
instrument.measurementSettings.CytoSettings.TriggerLevelsFJ5,2000,FALSE,FALSE,FALSE,FALSE,FALSE,,
instrument.measurementSettings.CytoSettings.ChannelDataConversion1,2,FALSE,FALSE,FALSE,FALSE,FALSE,,
